"축제명",개최장소,축제시작일자,축제종료일자,축제내용,주관기관,주최기관,후원기관,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
"제11회 우도소라축제","천진항, 우도면 일원",2019-04-12,2019-04-14,"우도 특산물인 뿔소라를 주제로 다양한 시식 및 체험 행사를 진행, 마음까지 풍성한 축제",우도면연합청년회,우도면,,064-728-4321,,,제주특별자치도 제주시 우도면 우도해안길 70,,33.4926799,126.9517219,2019-06-17
"탐라문화콘서트 - 놀젠놀장",산지천 북수구광장 일원,2019-04-20,2019-05-25,제주 원도심 활성화와 가족 관광객이 찾는 야간 명소,제주관광공사. JIBS,제주특별자치도,,,https://www.noljennoljang.com/,,제주특별자치도 제주시 일도1동 1146-22,,33.512315,126.5257578,2019-06-17
"삼다공원 야간콘서트·야몬딱털장",신제주 로터리 삼다공원,2019-04-26,2019-08-23,"“도심 속 잠자는 공원이 깨어난다” Every Friday, Healing day",제주관광공사. KCTV제주방송,제주특별자치도,,,,,제주특별자치도 제주시 은남길 8,,33.4889302,126.4956710,2019-06-17
"제3회 제주오라 청보리 & 유채꽃 축제",오라동 청보리밭,2019-04-26,2019-05-31,청보리의 푸르름과 노란 유채꽃을 한눈에 감상할 수 있는 축제,농업회사법인 오라,농업회사법인 오라,,,,,제주특별자치도 제주시 오라동 산76,,33.4391416,126.4899471,2019-06-17
"제 9회 수월봉 트레일",수월봉·차귀도·당산봉 일대,2019-04-25,2019-04-28,지질트레일을 즐기며 새로운 지질자원과 풍경을 즐길 수 있는 행사,제주도 세계지질공원 트레일위원회,제주특별자치도,,064-750-2291,,,제주특별자치도 제주시 한경면 고산리 3760,,33.2947595,126.1612544,2019-06-17
2019 제주 봄여행주간,제주도 일원,2019-04-27,2019-05-12,제주에서 봄빛 담아가기. 제주에코파티,문화체육관광부. 한국관광공사. 제주특별자치도. 제주관광공사,문화체육관광부. 한국관광공사. 제주특별자치도. 제주관광공사,,1577-2296,,,제주특별자치도 제주시 선덕로 23(연동),,33.4863166,126.4990979,2019-06-17
"한라산청정고사리축제",남원읍 국가태풍센터 서측,2019-04-27,2019-04-28,생명이 움트는 청정 남원읍의 자연과 함께 즐기는 한라산청정 고사리 축제,남원읍 축제위원회,서귀포시 남원읍,,064-760-4182,http://www.jejugosari.net/,,제주특별자치도 서귀포시 남원읍 서성로 788,,33.3300626,126.6774032,2019-06-17
"설문대할망 페스티벌 2019",제주돌문화공원 및 제주도 일원,2019-05-01,2019-05-31,제주도 대표 창조 설화인 설문대할망을 기리고 세계적인 문화행사로의  발전을 위한 祭 행사 및 부대행사 개최,제주돌문화공원,제주돌문화공원,,064-710-7731,,,제주특별자치도 제주시 조천읍 남조로 2023,,33.4486627,126.6589493,2019-06-17
"제주푸드앤와인페스티벌",제주도 일원,2019-05-02,2019-05-11,"해외 및 국내 유명 셰프들이 함께 참여해 제주도의 식재료를 사용, 다양한 우리의 맛과 멋을 선보일 예정",한국푸드앤와인페스티벌. 제주한라대학교,Jeju Food & Wine Festival Organizing Committee,,,,,제주특별자치도 제주시 한라대학로 38,,33.4770439,126.4748646,2019-06-17
"방선문축제",방선문입구,2019-05-04,2019-05-05,계곡에서 즐기는 문화와 예술 축제,방선문축제위원회,오라동자연문화유산보전회,,064-728-4802,,,제주특별자치도 제주시 오라이동 3819-11,,33.451122,126.515948,2019-06-17
"제주,100년의 시간여행 - 제주다크투어",제주 전역,2019-05-04,2019-11-30,"제주,100년의 시간여행(3.1운동부터 제주 4.3까지) - 제주다크투어",제주관광공사,제주특별자치도 세계유산본부,,,,,제주특별자치도 제주시 관덕로 19,,33.5133537,126.5214452,2019-06-17
"제6회 국제전기자동차엑스포",제주국제컨벤션센터(ICC JEJU),2019-05-08,2019-05-11,"‘전기차의 혁신을 향해 질주하라(Drive Evolution)’을 캐치프레이즈로 전시회, 컨퍼런스, 특별프로그램, B2B프로그램, 부대행사 진행",제6회 국제전기자동차엑스포 조직위원회,사단법인 국제전기자동차엑스포,,064-702-1580,http://www.ievexpo.org/,,제주특별자치도 서귀포시 중문관광로 224,,33.2413649,126.4245153,2019-06-17
2019 사려니숲 에코힐링 체험,사려니숲,2019-05-25,2019-06-02,사려니숲길 산림문화체험 프로그램,산림문화체험 사려니숲길위원회,제주특별자치도,,064-750-2291,http://www.facebook.com/saryeoni/,,제주특별자치도 서귀포시 표선면 남조로 1487-73,,33.4018105,126.6753835,2019-06-17
"제주국제관광마라톤축제",구좌종합운동장,2019-05-26,2019-05-26,제주의 파란 바닷빛과 함께 천혜의 자연 에너지를 만끽할 수 있는 “제주국제관광마라톤축제”,제주특별자치도관광협회,제주특별자치도,,064-741-8781,http://www.jejumarathon.com/InfoOutline01.do,,제주특별자치도 제주시 구좌읍 김녕로 209,,33.5561992,126.7616506,2019-06-17
2019 봄 시즌글라스 녹차 페스티벌 청초밭 제주,청초밭,2019-05-31,2019-06-09,100만 평의 녹차밭에서 열리는 녹차 페스티벌,시즌글라스 코리아,시즌글라스 코리아,,02-6246-4848,https://blog.naver.com/farm-green,,제주특별자치도 서귀포시 표선면 성읍이리로 57번길 34,,33.4180593,126.7809714,2019-06-17
2019 보목자리돔축제,보목포구 일원,2019-05-31,2019-06-02,그림 같은 서귀포 앞바다에서 즐기는 별미 축제,보목어촌계 · 보목동청년회,보목자리돔축제위원회,,064-733-3508,,,제주특별자치도 서귀포시 보목포로 46,,33.2392054514,126.6068305068,2019-06-17
2019 곶자왈 반딧불이 축제,청수리 곶자왈(웃뜨르 빛센타),2019-06-01,2019-07-15,별 흐르는 마을 청수리에서 개최되는 곶자왈 반딧불이 축제,청수축제위원회,청수마을회,,064-722-1303,,,제주특별자치도 제주시 한경면 연명로 348,,33.3020203,126.2591200,2019-06-17
2019 제주 메밀축제,제주메일체험관,2019-06-01,2019-06-02,메밀 생산량 1위인 제주에서 펼쳐지는 메밀축제,제주메밀육성사업단,한라산아래첫마을,,064-792-8245,,,제주특별자치도 서귀포시 안덕면 산록남로 675,,33.3280592605,126.379682805,2019-06-17
"제주해비치아트페스티벌",해비치호텔앤리조트,2019-06-10,2019-06-13,제주 전역에서 펼쳐지는 다양한 장르의 공연행사 등으로 공연문화발전의 선도적 역할을 수행하기 위하여 매년 제주특별자치도에서 개최되는 대규모 행사,"한국문화예술회관연합회, 제주특별자치도, 한국문화예술위원회","한국문화예술회관연합회, 제주특별자치도, 한국문화예술위원회",,,http://www.jhaf.or.kr/Home/Main.aspx,,제주특별자치도 서귀포시 표선면 민속해안로 537,,33.3234478,126.8447796,2019-06-17
"스테핑스톤페스티벌",함덕해수욕장 일대,2019-07-12,2019-07-13,제주의 여름과 다채로운 음악의 향현,스테핑스톤페스티벌 조직위,스테핑스톤페스티벌 조직위,,064-752-2225,,,제주특별자치도 제주시 조천읍 조함해안로 525,,33.542722,126.6692481,2019-06-17
2019년도 거문오름국제트레킹,거문오름 일대,2019-07-20,2019-07-28,거문오름을 예약없이 탐방하고 용암길과 진물길을 걸을 수 있는 일 년에 단 한 번뿐인 기회,세계자연유산 거문오름국제트레킹 위원회,제주특별자치도,,064-750-2523,,,제주특별자치도 제주시 조천읍 선교로 569-36,,33.456920503,126.7147513,2019-06-17
"금능 원담축제",금능해수욕장,2019-07-28,2019-07-29,금능 해수욕장에서 펼쳐지는 맨손 고기잡기 체험,금능원담축제추진위원회,금능리,,,,,제주특별자치도 제주시 한림읍 금능길 119-10,,33.3911260,126.2363373,2019-06-17
"이호테우축제",이호테우해수욕장,2019-07-27,2019-07-29,제주 도심에서 즐기는 해수욕장 축제,이호테우축제위원회,이호테우축제위원회,,064-742-2501,,,제주특별자치도 제주시 도리로 20,,33.4961851,126.4559518,2019-06-17
