종류,시설명,소재지
호스텔,신라스테이 제주,제주특별자치도 제주시 연동 274-16 외2
관광호텔,용담동갤럭시가족호텔,제주특별자치도 제주시 용담1동 183-2
관광호텔,신엄리 호스텔,제주특별자치도 제주시 애월읍 신엄리 2746
호스텔,연동 282-20 관광호텔,제주특별자치도 제주시 연동 282-20
호스텔,하귀2리 호스텔,제주특별자치도 제주시 애월읍 하귀2리 2669 외 3
호스텔,그라벨호텔,제주특별자치도 제주시 외도1동 401-8 외2
호스텔,스카이관광호스텔,제주특별자치도 제주시 이도1동 1782-1
휴양콘도,한라벨리휴양콘도미니엄,제주특별자치도 제주시 노형동 133 외 1
호스텔,오션패밀리호텔,제주특별자치도 제주시 이호1동 1725 외 1
가족호텔,엠버서더관광호텔,제주특별자치도 제주시 연동 251-1
관광호텔,호스텔 오렌지트리,제주특별자치도 제주시 이도1동 1371-2 외 1
호스텔,에어포트 호텔,제주특별자치도 제주시 용담2동 1935-1 외 4
호스텔,연동엘리시아뷰 가족호텔,제주특별자치도 제주시 연동 290-5
가족호텔,에어포트호스텔,제주특별자치도 제주시 연동 271-23
호스텔,마레보 가족호텔,제주특별자치도 제주시 애월읍 고내리 41 일원
호스텔,하모니리조트,제주특별자치도 제주시 한림읍 협재리 964-1
호스텔,루스톤앤빌라호텔,제주특별자치도 제주시 애월읍 고내리 71외 6
관광호텔,이도이동 관광호텔,제주특별자치도 제주시 이도2동 1776-31
호스텔,제주아이비호텔,제주특별자치도 제주시 노형동 912-3
호스텔,HOTEL LEO,제주특별자치도 제주시 연동 261-25
호스텔,아모르하우스 호스텔,제주특별자치도 제주시 구좌읍 종달리 1379외 3
관광호텔,대림리 썬하우스호스텔,제주특별자치도 제주시 한림읍 대림리 1403-2
호스텔,블랙비치 콘도미니엄,제주특별자치도 제주시 삼양1동 1924
휴양콘도,호스텔 화이트하우스,제주특별자치도 제주시 용담3동 2572-4 외 1
호스텔,브띠크호텔 빌라드애월,제주특별자치도 제주시 애월읍 신엄리 2768-7 외2
가족호텔,제주에어포트호텔,제주특별자치도 제주시 연동 260-25
가족호텔,한백가족호텔,제주특별자치도 제주시 애월읍 하귀2리 2871외 1
관광호텔,아스타 호텔,제주특별자치도 제주시 삼도1동 535-9 외 4
가족호텔,수앤수 가족호텔,제주특별자치도 제주시 애월읍 신엄리 2946-4
관광호텔,컬리넌 관광호텔,제주특별자치도 제주시 연동 284-8 외 1
호스텔,제주대성 유스호스텔,제주특별자치도 제주시 한경면 두모리 890
관광호텔,상하이관광호텔,제주특별자치도 제주시 연동 300-4
호스텔,파스텔에코호스텔,제주특별자치도 제주시 도두1동 2588 외 4
휴양콘도,무수천유원지(BLACK PINE RESORT) 휴양콘도,제주특별자치도 제주시 해안동 2510일원
관광호텔,루스톤호텔,제주특별자치도 제주시 애월읍 고내리 59-1외9필지
호스텔,씨앤힐 스타팬션호스텔,제주특별자치도 제주시 애월읍 고내리 76-1 외 1
호스텔,관광호스텔 해밀,제주특별자치도 제주시 애월읍 유수암리 617-1
관광호텔,제주T호텔,제주특별자치도 제주시 삼도2동 1260
관광호텔,호텔샬롬,제주특별자치도 제주시 이도2동 1174-1외 1
호스텔,레드월호스텔,제주특별자치도 제주시 이호1동 1812-7외 2
관광호텔,오라동관광호텔,제주특별자치도 제주시 오라2동 3100-1외1
호스텔,용담호스텔,제주특별자치도 제주시 용담3동 1010-1 외 2
호스텔,더비치,제주특별자치도 제주시 용담3동 161470
호스텔,예그리나 호스텔,제주특별자치도 제주시 구좌읍 김녕리 5993 외 4
호스텔,레드플레이호스텔,제주특별자치도 제주시 애월읍 하가리120-50외3
관광호텔,하워드존슨프라자제주호텔,제주특별자치도 제주시 연동 2334-4 외 2
관광호텔,하얀관광호텔,제주특별자치도 제주시 용담3동 2555 외 3
관광호텔,동인호텔,제주특별자치도 제주시 연동 306-14
관광호텔,케이 관광호텔,제주특별자치도 제주시 연동 251-79
가족호텔,이화호텔,제주특별자치도 제주시 용담2동 1783-1 외2
관광호텔,씨앤 관광호텔,제주특별자치도 제주시 내도동 15-1 외1
가족호텔,에코패밀리 가족호텔,제주특별자치도 제주시 한림읍 귀덕리 1502 외2
관광호텔,화이트관광호텔,제주특별자치도 제주시 외도1동 626-4
관광호텔,아이진 호텔,제주특별자치도 제주시 연동 306-14
호스텔,로벨리조트,제주특별자치도 제주시 이호1동 325
호스텔,프로방스호스텔,제주특별자치도 제주시 애월읍 유수암리 892-1 외2
관광호텔,호텔더원,제주특별자치도 제주시 연동 279-3
관광호텔,부림온천관광호텔,제주특별자치도 제주시 연동 1409
호스텔,코알라호스텔,제주특별자치도 제주시 애월읍 유수암리 892-1 외1
호스텔,비스타리조트,제주특별자치도 제주시 이호1동 363
관광호텔,제주해마관광호텔,제주특별자치도 제주시 연동 261-3
관광호텔,골든파크 관광호텔,제주특별자치도 제주시 오라1동 198084
호스텔,호텔 시드니,제주특별자치도 제주시 애월읍 하귀2리 2615-7 외1
호스텔,조은호텔,제주특별자치도 제주시 연동 284-6
관광호텔,사하라호텔,제주특별자치도 제주시 삼도1동 559-10
호스텔,삼다호스텔,제주특별자치도 제주시 용담3동 176414
관광호텔,베니카아 호텔 제주,제주특별자치도 제주시 애월읍 신엄리 2735-1 외 1
관광호텔,DIANA 호텔,제주특별자치도 제주시 건입동 658-1
가족호텔,동도가족호텔,제주특별자치도 제주시 애월읍 고내리 332-5 외3
호스텔,프레임호스텔,제주특별자치도 제주시 애월읍 하귀2리 2702-2 외1
가족호텔,고내리385-2 가족호텔,제주특별자치도 제주시 애월읍 고내리 385-2 외6
관광호텔,탑팰리스 호텔,제주특별자치도 제주시 일도2동 1279-5
호스텔,크라운골프텔,제주특별자치도 제주시 조천읍 북촌리 산65
호스텔,미라클호스텔,제주특별자치도 제주시 도두2동 716-1
호스텔,리벤시아 호텔,제주특별자치도 제주시 한림읍 월령리 254-1
호스텔,호스텔 더 도두,제주특별자치도 제주시 도두1동 260905
관광호텔,아텐타워 호텔,제주특별자치도 제주시 노형동 903-4
호스텔,나디아호텔,제주특별자치도 제주시 애월읍 애월리 1229-3 외1
호스텔,한빛호스텔,제주특별자치도 제주시 한림읍 금능리 1803-2 외1
가족호텔,고내리 388 가족호텔,제주특별자치도 제주시 고내리 388외6
휴양콘도,드림타워 휴양콘도미니엄,제주특별자치도 제주시 노형동 925
관광호텔,드림타워 관광호텔,제주특별자치도 제주시 노형동 925
관광호텔,베니키아 관광호텔,제주특별자치도 제주시 애월읍 신엄리 2736-1외2
가족호텔,다선 가족호텔,제주특별자치도 제주시 연동 273-68
관광호텔,도두 관광호텔,제주특별자치도 제주시 도두일동 135903
호스텔,썬비치리조트,제주특별자치도 제주시 이호일동 328-4외1
호스텔,씨스테이 호텔 앤 리조트,제주특별자치도 제주시 애월읍 고내리 1105-1
관광호텔,노블레스 관광호텔,제주특별자치도 제주시 용담이동 2761외2
호스텔,엠버리조트,제주특별자치도 제주시 노형동 310-2외1
호스텔,탐라지오 호스텔,제주특별자치도 제주시 연동 274-7
관광호텔,BLACK PEAL관광호텔,제주특별자치도 제주시 애월읍 하귀2리2732외7
가족호텔,펄리플러스 가족호텔,제주특별자치도 제주시 도두일동 1798-6외1
관광호텔,연동274 관광호텔,제주특별자치도 제주시 연동 274-37외2
관광호텔,난타파크 관광호텔,제주특별자치도 제주시 오등동 10-1외 5
호스텔,하하호스텔,제주특별자치도 제주시 연동 261-30
호스텔,중문썬라이즈 호스텔,제주특별자치도 제주시 한림읍 한림리 1587
호스텔,물뜰에 쉼팡 리조트,제주특별자치도 제주시 한림읍 721-1
관광호텔,해밀 관광호텔,제주특별자치도 제주시 이호일동 345외 2
관광호텔,블랙샌즈 관광호텔,제주특별자치도 제주시 삼양이동 87660
관광호텔,스카이힐 비지니스관광호텔,제주특별자치도 제주시 삼도일동 580-27
관광호텔,하버관광호텔,제주특별자치도 제주시 건입동 1037-1
관광호텔,청향 관광호텔,제주특별자치도 제주시 외도이동 2048외10필지
가족호텔,가족호텔 이화원,제주특별자치도 제주시 도두일동 1750
관광호텔,스테이션씨 관광호텔,제주특별자치도 제주시 연동 302-3
관광호텔,JEJU SLIM 관광호텔,제주특별자치도 제주시 이도이동 1776-31
관광호텔,GLAD Classic Jeju Hotel,제주특별자치도 제주시 건입동 1440외3필지
호스텔,구엄리조트 호스텔,제주특별자치도 제주시 애월읍 구엄리 942-1외2
가족호텔,제주아모렉스가족호텔 B동,제주특별자치도 제주시 도두1동 1742 외6
관광호텔,어반아일랜드호텔,제주특별자치도 제주시 연동 292-27
관광호텔,제주힐링명상호텔,제주특별자치도 제주시 애월읍 어음리 477외5
호스텔,라인호스텔,제주특별자치도 제주시 이도이동 1169-8
가족호텔,블루하와이호텔,제주특별자치도 제주시 한림읍 금능리 2005-1외2
관광호텔,제이드림호텔,제주특별자치도 제주시 연동 272-26
관광호텔,제주인 관광호텔,제주특별자치도 제주시 내도동 277-1
호스텔,나이스호텔,제주특별자치도 제주시 내도동 104
관광호텔,99관광호텔,제주특별자치도 제주시 도두일동 2614외1
호스텔,이도이동 관광호스텔,제주특별자치도 제주시 이도이동 1010
가족호텔,협재리가족호텔,제주특별자치도 제주시 한림읍 협재리 1398외 3
휴양콘도,도두동 휴양콘도미니엄,제주특별자치도 제주시 도두일동 2538외1
호스텔,노형호텔,제주특별자치도 제주시 노형동 1288-4
호스텔,시드니호텔2,제주특별자치도 제주시 애월읍 하귀2리 2615-8외1
호스텔,이호 호스텔,제주특별자치도 제주시 이호일동 440-7외 1
관광호텔,태경호텔,제주특별자치도 제주시 용담일동 2829
호스텔,메이저2 호스텔,제주특별자치도 제주시 연동 273-54
관광호텔,비치스토리관광호텔,제주특별자치도 제주시 조천읍 함덕리 1252-10
호스텔,K씨 이호동 호스텔,제주특별자치도 제주시 이호이동 163-3
관광호텔,탐라한라 리조트,제주특별자치도 제주시 애월읍 신엄리 3186외 2필지
관광호텔,더스테이 센추리호텔,제주특별자치도 제주시 애월읍 하구1리 544-2외 1필지
관광호텔,해피호텔,제주특별자치도 제주시 연동 262-16
호스텔,알리바호텔,제주특별자치도 제주시 삼도일동 558-5
관광호텔,제주레슬리 호텔,제주특별자치도 제주시 노형동 214765
호스텔,다율호스텔,제주특별자치도 제주시 삼양삼동 207095
관광호텔,비치스토리 관광호텔,제주특별자치도 제주시 조천읍 함덕리 1252-10
관광호텔,블루엔젤 관광호텔,제주특별자치도 제주시 이도2동 1176-43
관광호텔,으뜸관관호텔,제주특별자치도 제주시 조천읍 함덕리 3230-1
호스텔,굿모닝호스텔,제주특별자치도 제주시 한림읍 한림리 1314-35
관광호텔,더힐호텔,제주특별자치도 제주시 삼도일동 799-10
호스텔,용담이동호스텔,제주특별자치도 제주시 용담이동 284434
관광호텔,연동관광호텔,제주특별자치도 제주시 연동 274-34
가족호텔,정원스카이 가족호텔,제주특별자치도 제주시 한림읍 귀덕리 3646번지외 1
관광호텔,이호일동관광호텔,제주특별자치도 제주시 이호일동 351-5
호스텔,삼양삼동 호스텔,제주특별자치도 제주시 삼양삼동 2564외 2필지
가족호텔,하가리 가족호텔,제주특별자치도 제주시 애월읍 하가리 1256-2외 3
호스텔,도두이동 호스텔,제주특별자치도 제주시 도두이동 1644-4
가족호텔,제주아모렉스가족호텔(증축),제주특별자치도 제주시 도두1동 1742 외6
호스텔,오션파크 호스텔,제주특별자치도 제주시 도두일동 2616
관광호텔,제주코아 관광호텔,제주특별자치도 제주시 연동 304-13외 1
관광호텔,제주용담호텔,제주특별자치도 제주시 용담이동 699-1외 2
호스텔,용담삼동 호스텔,제주특별자치도 제주시 용담삼동 2572
관광호텔,코코관광호텔,제주특별자치도 제주시 연동 260-2
관광호텔,베스트시티관광호텔,제주특별자치도 제주시 연동 271-17외 1필지
호스텔,대림리 관광호텔,제주특별자치도 제주시 한림읍 대림리 56-4
호스텔,일도 호스텔,제주특별자치도 제주시 일도일동 1085-7
호스텔,파란바다 호스텔,제주특별자치도 제주시 조천읍 함덕리 1252-15
가족호텔,승진호텔,제주특별자치도 제주시 용담이동 641-44 외 1필지
관광호텔,연동관광호텔,제주특별자치도 제주시 연동 281-27
가족호텔,호텔 블루스프링(협재호텔),제주특별자치도 제주시 한림읍 협재리 2514-2외 2필지
가족호텔,김녕 가족호텔,제주특별자치도 제주시 구좌읍 김녕리 3517외 2
휴양콘도,열해당 리조트,제주특별자치도 제주시 애월읍 소길리 149번지 일원
소형호텔,리우다소형호텔,제주특별자치도 제주시 조천읍 조천리 2989번지
호스텔,삼도이동 호스텔,제주특별자치도 제주시 삼도이동 977-2번지
호스텔,용담삼동 호스텔,제주특별자치도 제주시 용담삼동 1011-1번지
관광호텔,신엄리 관광호텔,제주특별자치도 제주시 애월읍 신엄리 2733-2외 2
휴양콘도,이호일동 휴양콘도,제주특별자치도 제주시 이호일동 322외 1
관광호텔,에코랜드 호텔,제주특별자치도 제주시 조천읍 고래리 385-1
관광호텔,IWELL 관광호텔,제주특별자치도 제주시 연동 253-41
관광호텔,나비스호스텔,제주특별자치도 제주시 애월읍 하귀2리 2749-3
가족호텔,차귀도 가족호텔,제주특별자치도 제주시 한경면 고산리 3585 외1
호스텔,도두일동 호스텔,제주특별자치도 제주시 도두일동 2617-4외 1
호스텔,고내리 호스텔,제주특별자치도 제주시 애월읍 고내리 1159
휴양콘도,외도이동 휴양콘도미니엄,제주특별자치도 제주시 외도이동 1941
호스텔,이도일동 호스텔,제주특별자치도 제주시 이도일동 1504-11
관광호텔,도두이동 관광호텔,제주특별자치도 제주시 도두이동 714외 1
가족호텔,276 스테이,제주특별자치도 제주시 연동 276
호스텔,동문 호스텔,제주특별자치도 제주시 이도일동 1481-2
소형호텔,플레르 호텔,제주특별자치도 제주시 한림읍 한림리 936-7외 1
호스텔,도두이동 호스텔,제주특별자치도 제주시 도두이동 681-1외 1(681-3)
호스텔,연동 호스텔,제주특별자치도 제주시 연동 283-28
호스텔,한림리 호스텔,제주특별자치도 제주시 한림읍 한림리 1323-5
관광호텔,애월 뉴오션리조트,제주특별자치도 제주시 애월읍 고내리 300-1. -2. -3
관광호텔,썬라이즈 관광호텔,제주특별자치도 제주시 한림읍 옹포리 393-9외 1
관광호텔,협재리 관광호텔,제주특별자치도 제주시 한림읍 협재리 1617외 1
