순번,상호명,소재지,객실수,연락처,데이터기준일자
관광호텔업,제니아관광호텔,제주특별자치도 제주시 은남1길 25(연동),67,064-797-9000,2019-09-30
관광호텔업,제주갤럭시호텔,제주특별자치도 제주시 남성로 33(용담일동),85,064-750-3355,2019-09-30
관광호텔업,뉴베니키아호텔제주,제주특별자치도 제주시 애월읍 애월해안로 554-10(신엄리),88,064-799-3544,2019-09-30
관광호텔업,플로라호텔해마,제주특별자치도 제주시 삼무로 28(연동),89,064-786-6000,2019-09-30
관광호텔업,에스호텔,제주특별자치도 제주시 오일장중길 26(도두일동),88,064-749-9928,2019-09-30
관광호텔업,블랙샌즈관광호텔,제주특별자치도 제주시 선사로 8(삼양2동),78,064-740-0888,2019-09-30
관광호텔업,호텔더원,제주특별자치도 제주시 사장3길 33(연동),180,064-798-0001,2019-09-30
관광호텔업,제주인관광호텔,제주특별자치도 제주시 신산마을길 20(내도동),79,064-754-1111,2019-09-30
관광호텔업,제주코아관광호텔,제주특별자치도 제주시 신대로 148(연동),65,064-744-6600,2019-09-30
관광호텔업,하버관광호텔,제주특별자치도 제주시 임항로 260(건입동),30,064-754-6000,2019-09-30
관광호텔업,탐라스테이,제주특별자치도 제주시 애월읍 애월해안로 881,116,064-742-8848,2019-09-30
관광호텔업,스카이힐비즈니스 관광호텔,제주특별자치도 제주시 서광로24길 1(삼도일동),78,064-751-5177,2019-09-30
관광호텔업,슬림관광호텔,제주특별자치도 제주시 서광로 292-1(이도이동 1776-31),42,064-722-1551,2019-09-30
관광호텔업,플로라제주 제이드림호텔,제주특별자치도 제주시 은남1길 40(연동),77,064-711-0008,2019-09-30
관광호텔업,어반아일랜드호텔,제주특별자치도 제주시 연동 292-27,70,064-740-1900,2019-09-30
관광호텔업,더스테이센추리호텔,제주특별자치도 제주시 애월읍 일주서로 7113,91,064-800-4000,2019-09-30
관광호텔업,오드리 인,제주특별자치도 제주시 서해안로 100(이호일동),82,064-710-8000,2019-09-30
관광호텔업,Best One 관광호텔,제주특별자치도 제주시 조천읍 함덕리 3230-1,90,064-783-8899,2019-09-30
관광호텔업,호텔난타,제주특별자치도 제주시 선돌목동길 56-26(오등동),204,064-727-0603,2019-09-30
관광호텔업,(주)호텔샬롬,제주특별자치도 제주시 동광로 34(이도이동),176,064-720-7700,2019-09-30
관광호텔업,제주레슬리호텔,제주특별자치도 제주시 광평길 3(노형동),96,064-713-6800,2019-09-30
관광호텔업,제주노블레스 관광호텔,제주특별자치도 제주시 월성로4길 19(용담이동),150,064-747-7161,2019-09-30
관광호텔업,호텔 시리우스,제주특별자치도 제주시 도령로 133(연동),280,070-4559-1155,2019-09-30
관광호텔업,다인오세아노호텔,제주특별자치도 제주시 애월읍 애월해안로 394,83,1811-0012,2019-09-30
관광호텔업,시티홀관광호텔제주,제주특별자치도 제주시 동광로4길 9-4(이도이동),30,064-726-5678,2019-09-30
관광호텔업,(주)호텔신라 제주신라,제주특별자치도 서귀포시 중문관광로72번길 75 ,429,064-735-5114,2019-09-30
관광호텔업,㈜호텔롯데 롯데호텔 제주,제주특별자치도 서귀포시 중문관광로72번길 35 ,500,064-731-1000,2019-09-30
관광호텔업,더 쇼어 호텔 제주,제주특별자치도 서귀포시 중문관광로72번길 114 ,224,064-733-1234,2019-09-30
관광호텔업,㈜교원 스위트호텔 제주,제주특별자치도 서귀포시 중문관광로72번길 67 ,90,064-738-3800,2019-09-30
관광호텔업,서귀포KAL호텔,제주특별자치도 서귀포시 칠십리로 242 ,225,064-733-2001,2019-09-30
관광호텔업,해비치호텔,제주특별자치도 서귀포시 표선면 민속해안로 537,288,064-780-8000,2019-09-30
관광호텔업,WE호텔,제주특별자치도 서귀포시 1100로 453-95,86,064-730-1200,2019-09-30
관광호텔업,(주)호텔하나,제주특별자치도 서귀포시 중문관광로72번길 53,85,064-738-7001,2019-09-30
관광호텔업,CASALOMA HOTEL,제주특별자치도 서귀포시 태평로 347 ,108,064-733-2121,2019-09-30
관광호텔업,헤이서귀포,제주특별자치도 서귀포시 태평로 363 ,134,064-732-5678,2019-09-30
관광호텔업,주식회사 호텔크리스탈,제주특별자치도 서귀포시 중정로 16,72,064-732-8311,2019-09-30
관광호텔업,호텔굿인 서귀포,제주특별자치도 서귀포시 태평로439번길 14,41,064-767-9600,2019-09-30
관광호텔업,호텔 테디밸리,제주특별자치도 서귀포시 안덕면 한창로 365,72,064-793-1000,2019-09-30
관광호텔업,부영CC관광호텔,제주특별자치도 서귀포시 남원읍 남조로 960,74,064-766-5500,2019-09-30
관광호텔업,파인힐호텔,제주특별자치도 서귀포시 부두로 44,55,064-762-5988,2019-09-30
관광호텔업,호텔랑주,제주특별자치도 서귀포시 김정문화로27번길 23-3,31,064-739-0012,2019-09-30
관광호텔업,호텔빠레브 주식회사,제주특별자치도 서귀포시 김정문화로 15,204,064-735-8899,2019-09-30
관광호텔업,호텔 스카브로,제주특별자치도 서귀포시 예래해안로 15,41,064-739-0027,2019-09-30
관광호텔업,아리아호텔,제주특별자치도 서귀포시 중문관광로 23-1,51,064-738-8981,2019-09-30
관광호텔업,글래드호텔앤리조트㈜제주항공우주호텔,제주특별자치도 서귀포시 안덕면 녹차분재로 216,110,064-798-5500,2019-09-30
관광호텔업,REDD21호 제주중문호텔,제주특별자치도 서귀포시 중문관광로72번길 60,221,064-735-8900,2019-09-30
관광호텔업,호텔 캘리포니아,제주특별자치도 서귀포시 김정문화로 27번길 14-4,64,064-738-9902,2019-09-30
관광호텔업,풍경호텔,제주특별자치도 서귀포시 남성중로 147,48,064-733-3355,2019-09-30
관광호텔업,호텔화인,제주특별자치도 서귀포시 칠십리로 87,96,064-801-8888,2019-09-30
관광호텔업,베니키아 중문호텔,제주특별자치도 서귀포시 천제연로 166,45,064-802-8888,2019-09-30
관광호텔업,제주 부영호텔 & 리조트,제주특별자치도 서귀포시 중문관광로 222,262,064-731-5500,2019-09-30
관광호텔업,파크선샤인제주관광호텔,제주특별자치도 서귀포시 남성중로 135,105,064-766-1000,2019-09-30
관광호텔업,비케이호텔인제주,제주특별자치도 서귀포시 칠십리로91번길 12),55,064-763-0779,2019-09-30
관광호텔업,블루마운틴관광호텔,제주특별자치도 서귀포시 성산읍 일출로 297,38,064-731-8888,2019-09-30
관광호텔업,오션블루호텔,제주특별자치도 서귀포시 이어도로 67,30,064-722-9991,2019-09-30
관광호텔업,제주리시온관광호텔,제주특별자치도 서귀포시 표선면 표선동서로 263 ,77,064-787-8841,2019-09-30
관광호텔업,유어스호텔,제주특별자치도 서귀포시 천제연로 178번길 21,83,064-733-7500,2019-09-30
관광호텔업,그랜드메르호텔 제주,제주특별자치도 서귀포시 논짓물로 45,94,064-801-7000,2019-09-30
관광호텔업,제주스테이,제주특별자치도 서귀포시 성산읍 신고로 11,80,064-783-8877,2019-09-30
관광호텔업,히든클리프호텔&네이쳐,제주특별자치도 서귀포시 예래해안로 542,250,064-752-7777,2019-09-30
관광호텔업,성산썬라이즈호텔,제주특별자치도 서귀포시 성산읍 성산등용로17번길 35,47,064-782-6650,2019-09-30
관광호텔업,호텔더본제주,제주특별자치도 서귀포시 색달로 18,139,064-766-8988,2019-09-30
관광호텔업,playce(플레이스),제주특별자치도 서귀포시 성산읍 동류암로 20,235,064-766-3041,2019-09-30
관광호텔업,제주 티라 호텔,제주특별자치도 서귀포시 성산읍 섭지코지로25번길 41,30,064-786-5353,2019-09-30
관광호텔업,제주신화월드 호텔 앤 리조트,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,"1,720",064-908-6000,2019-09-30
관광호텔업,호텔 아루미,제주특별자치도 서귀포시 색달중앙로 38,78,064-738-9780,2019-09-30
관광호텔업,골드윈호텔&스위트,제주특별자치도 서귀포시 이어도로 1032,51,064-801-5000,2019-09-30
한국전통호텔업,씨에스개발㈜ 씨에스호텔앤리조트,제주특별자치도 서귀포시 중문관광로 198 ,29,064-735-3000,2019-09-30
가족호텔업,꼬뜨도르가족호텔,제주특별자치도 제주시 구좌읍 일주동로 1724,30,064-782-0800,2019-09-30
가족호텔업,그림리조트,제주특별자치도 제주시 서해안로 620-1 (용담삼동),30,064-742-2080,2019-09-30
가족호텔업,다인리조트,제주특별자치도 제주시 애월읍 애월해안로 400-9 (고내리),33,064-799-2600,2019-09-30
가족호텔업,올레리조트,제주특별자치도 제주시 애월읍 부룡수길 33(심엄리),53,064-799-7770,2019-09-30
가족호텔업,베스트웨스턴 제주호텔,제주특별자치도 제주시 도령로 27 (노형동),350,064-797-6200,2019-09-30
가족호텔업,다인리조트 투(2차),제주특별자치도 제주시 애월읍 애월해안로 400-9,33,064-799-2600,2019-09-30
가족호텔업,㈜아모렉스리조트,제주특별자치도 제주시 서해안로 216 (도두일동),173,064-711-0125,2019-09-30
가족호텔업,제주나인리조트,제주특별자치도 제주시 서해안로 216 (도두일동),30,064-722-2222,2019-09-30
가족호텔업,(주)하바나호텔앤리조트,제주특별자치도 제주시 구좌읍 해맞이해안로 1590-6(하도리),36,064-782-1000,2019-09-30
가족호텔업,부띠끄호텔빌라드애월,제주특별자치도 제주시 애월읍 애월해안로 516-7(신엄리),53,064-799-4001,2019-09-30
가족호텔업,로긴리조트,제주특별자치도 제주시 서해안로 442-11 (용담삼동),31,064-723-3333,2019-09-30
가족호텔업,블루하와이리조트,제주특별자치도 제주시 한림읍 한림로 77(금능리),86,064-773-0800,2019-09-30
가족호텔업,제주에어포트호텔,제주특별자치도 제주시 도령로 102(연동),64,064-745-9555,2019-09-30
가족호텔업,오션패밀리호텔 스토리,제주특별자치도 제주시 일주서로 7531(이호일동),30,064-712-3900,2019-09-30
가족호텔업,홍익제주호텔,제주특별자치도 제주시 한림읍 일주서로 5125,96,064-723-5801,2019-09-30
가족호텔업,㈜호텔샹그릴라(구호텔펄리),제주특별자치도 제주시 노형로 79 (해안동),124,064-726-0061,2019-09-30
가족호텔업,㈜프라미스아인피플가족호텔,제주특별자치도 제주시 논세길 51(내도동),51,064-748-1700,2019-09-30
가족호텔업,샹그릴라호텔,제주특별자치도 제주시 해안마을북길 14-4(해안동),198,064-743-8098,2019-09-30
가족호텔업,에코패밀리호텔,제주특별자치도 제주시 한림읍 귀덕리 1502,48,064-796-8333,2019-09-30
가족호텔업,이화호텔,제주특별자치도 제주시 도령로 155(용담이동),64,064-745-8188,2019-09-30
가족호텔업,마레보가족호텔,제주특별자치도 제주시 애월읍 신엄안3길 135,95,064-799-2090,2019-09-30
가족호텔업,더제주리조트,제주특별자치도 제주시 한림읍 협재리 876-3,72,064-796-2908,2019-09-30
가족호텔업,수앤수가족호텔,제주특별자치도 제주시 애월읍 부룡수길60,40,064-799-7090,2019-09-30
가족호텔업,리치호텔,제주특별자치도 제주시 애월읍 고내로13길 100,32,064-799-1991,2019-09-30
가족호텔업,해든호텔,제주특별자치도 제주시 서해안로 204,36,064-748-8862,2019-09-30
가족호텔업,호텔펄리플러스,제주특별자치도 제주시 도두봉2길 2,125,064-702-0071,2019-09-30
가족호텔업,블루하와이호텔,제주특별자치도 제주시 한림읍 한림로 75,99,064-796-8191,2019-09-30
가족호텔업,샐리스 제주호텔,제주특별자치도 제주시 애월읍 고내리 46,55,064-801-0025,2019-09-30
가족호텔업,아길라 호텔,제주특별자치도 제주시 한림읍 협재리 1398 ,32,064-798-7700,2019-09-30
가족호텔업,스카이호텔,제주특별자치도 제주시 한림읍 한림해안로 514-31,31,064-796-7900,2019-09-30
가족호텔업,블루스프링 부띠끄 호텔,제주특별자치도 제주시 한림읍 한림로 330,31,064-796-1781,2019-09-30
가족호텔업,통나무파크,제주특별자치도 제주시 애월읍 도치돌길 293,30,064-799-6909,2019-09-30
가족호텔업,그랑빌 가족호텔,제주특별자치도 서귀포시 중문관광로 17 ,42,064-739-9994,2019-09-30
가족호텔업,중문빌리지 가족호텔,제주특별자치도 서귀포시 예래로 270,30,064-738-3151,2019-09-30
가족호텔업,송악리조트,제주특별자치도 서귀포시 대정읍 형제해안로 256-5. 256-6 . 256-8,30,064-794-6307,2019-09-30
가족호텔업,담앤루,제주특별자치도 서귀포시 이어도로343번길 63 ,43,064-739-6617,2019-09-30
가족호텔업,뷰티플리조트,제주특별자치도 서귀포시 이어도로253번길 2 ,32,064-738-7407,2019-09-30
가족호텔업,중문리조트,제주특별자치도 서귀포시 색달로 117,44,064-738-0085,2019-09-30
가족호텔업,아라온리조트,제주특별자치도 서귀포시 소보리당로 220,55,,2019-09-30
가족호텔업,중문통나무가족호텔,제주특별자치도 서귀포시 중산간서로594번길 7-28,30,064-738-8383,2019-09-30
가족호텔업,와이리조트 제주,제주특별자치도 서귀포시 안덕면 화순중앙로124번길 75,32,064-794-7007,2019-09-30
가족호텔업,코델리아리조트,제주특별자치도 서귀포시 성산읍 일주동로4120번길 23-20 ,104,070-4548-2200,2019-09-30
가족호텔업,아름다운리조트,제주특별자치도 서귀포시 성산읍 해맞이해안로 2644 ,38,064-782-1300,2019-09-30
가족호텔업,엔파제주호텔,제주특별자치도 서귀포시 성산읍 서성일로 726-11,31,064-783-1000,2019-09-30
가족호텔업,봄그리고가을리조트,제주특별자치도 서귀포시 성산읍 해맞이해안로 2660,46,064-784-2211,2019-09-30
가족호텔업,초이 호스텔 제주,제주특별자치도 서귀포시 태평로335번길 11-1,32,064-732-3070,2019-09-30
가족호텔업,파미유리조트 가족호텔,제주특별자치도 서귀포시 이어도로 826-6,35,064-738-9186,2019-09-30
가족호텔업,호텔 섬오름,제주특별자치도 서귀포시 막숙포로 114,53,064-800-7200,2019-09-30
가족호텔업,㈜일레인,제주특별자치도 서귀포시 일주서로 660,42,064-738-2013,2019-09-30
가족호텔업,봄그리고가을 가족호텔,제주특별자치도 서귀포시 성산읍 해맞이해안로 2652,86,064-784-2211,2019-09-30
가족호텔업,토스카나호텔,제주특별자치도 서귀포시 용흥로66번길158-7,65,064-735-7000,2019-09-30
가족호텔업,성산아쿠아비치호텔,제주특별자치도 서귀포시 성산읍 일주동로 4258,61,064-780-3000,2019-09-30
가족호텔업,호텔아로하,제주특별자치도 서귀포시 성산읍 성산등용로 40,34,064-782-3100,2019-09-30
가족호텔업,더포그레이스호텔앤리조트,제주특별자치도 서귀포시 성산읍 해맞이해안로 2670,144,064-797-7700,2019-09-30
가족호텔업,더클라우드 가족호텔,제주특별자치도 서귀포시 성산읍 한도로 269-37,30,064-783-8366,2019-09-30
가족호텔업,브리즈베이호텔,제주특별자치도 서귀포시 성산읍 성산등용로 42,40,064-784-0000,2019-09-30
가족호텔업,제이뷰호텔,제주특별자치도 서귀포시 중산간서로 935,37,064-739-5200,2019-09-30
가족호텔업,호텔 휴식 서귀포,제주특별자치도 서귀포시 중앙로 71번길 17,74,064-730-5000,2019-09-30
가족호텔업,코델리아S호텔,제주특별자치도 서귀포시 성산읍 일주동로 4186,236,064-783-0053,2019-09-30
가족호텔업,썬라이즈호텔 섭지코지점,제주특별자치도 서귀포시 성산읍 신양로 83,40,064-784-7848,2019-09-30
가족호텔업,제이앤비 가족호텔,제주특별자치도 서귀포시 토평남로30번길 10-8(토평동),31,064-733-8864,2019-09-30
가족호텔업,글레즈하임호텔,제주특별자치도 서귀포시 이어도로 777(강정동),42,064-735-0200,2019-09-30
호스텔업,아마스빌 호스텔,제주특별자치도 제주시 애월읍 신엄안3길 101,20,064-799-7300,2019-09-30
호스텔업,스웨덴호스텔,제주특별자치도 제주시 한림읍 명재로 100-47,28,064-796-3721,2019-09-30
호스텔업,해미안,제주특별자치도 제주시 일주서로 7353 (외도이동),20,064-713-2001,2019-09-30
호스텔업,용두암캐빈,제주특별자치도 제주시 어영길 32 (용담삼동),20,064-712-2550,2019-09-30
호스텔업,에바다호스텔,제주특별자치도 제주시 현사길 45 (이호일동),30,064-744-1398,2019-09-30
호스텔업,카이 호스텔,제주특별자치도 제주시 한림읍 협재2길 10,23,,2019-09-30
호스텔업,이호리조트,제주특별자치도 제주시 도리로 106-16 (이호일동),24,064-711-6625,2019-09-30
호스텔업,윈드힐 호텔&리조트,제주특별자치도 제주시 애월읍 해월해안로 554-8,41,064-744-0209,2019-09-30
호스텔업,스완지,제주특별자치도 제주시 서해안로 84,25,064-744-6700,2019-09-30
호스텔업,㈜호텔 알리앙스,제주특별자치도 제주시 서해안로 380(용담삼동),20,,2019-09-30
호스텔업,엠제이호텔,제주특별자치도 제주시 신광로4길 16(연동),34,064-713-8900,2019-09-30
호스텔업,에덴호스텔,제주특별자치도 제주시 서해안로 456-12 (용담삼동),20,064-749-0006,2019-09-30
호스텔업,조이 황토리조트,제주특별자치도 제주시 애월읍 신상로 258,24,,2019-09-30
호스텔업,레브호텔제주,제주특별자치도 제주시 은남1길15(연동),31,064-745-8228,2019-09-30
호스텔업,호스텔 오렌지트리,제주특별자치도 제주시 관덕로8길 7-12(이도일동),26,,2019-09-30
호스텔업,하모니리조트,제주특별자치도 제주시 한림읍 협재로 213,20,064-796-8441,2019-09-30
호스텔업,제이투(J2),제주특별자치도 제주시 삼무로3길 37(연동),30,,2019-09-30
호스텔업,레드월 호스텔,제주특별자치도 제주시 현사길 33(이호일동),20,064-743-6444,2019-09-30
호스텔업,씨앤힐 스파팬션,제주특별자치도 제주시 애월읍 애월해안로 412,20,,2019-09-30
호스텔업,아모르하우스,제주특별자치도 제주시 구좌읍 해맞이해안로 2060-18,20,1833-9306,2019-09-30
호스텔업,관광호스텔해밀,제주특별자치도 제주시 애월읍 광상로 272,21,064-799-3066,2019-09-30
호스텔업,크라운골프텔,제주특별자치도 제주시 조천읍 북선로 125,25,,2019-09-30
호스텔업,제주리조트,제주특별자치도 제주시 애월읍 가문동상4길 11,25,064-745-5533,2019-09-30
호스텔업,예그리나호스텔,제주특별자치도 제주시 구좌읍 일주동로 1845,20,064-784-1111,2019-09-30
호스텔업,에코그린펜션,제주특별자치도 제주시 한림읍 귀덕6길 92-9,21,064-796-8333,2019-09-30
호스텔업,더비치,제주특별자치도 제주시 서해안로 486-4(용담3동),20,064-711-8831,2019-09-30
호스텔업,비스타리조트,제주특별자치도 제주시 서해안로74(이호일동),20,064-713-6631,2019-09-30
호스텔업,스카이관광호스텔,제주특별자치도 제주시 이도일동 1782-1,40,064-758-3386,2019-09-30
호스텔업,호텔통 연동,제주특별자치도 제주시 사장1길 28(연동),34,064-744-2193,2019-09-30
호스텔업,미라클호텔,제주특별자치도 제주시 서해안로 346-9(도두이동),29,,2019-09-30
호스텔업,엠버리조트,제주특별자치도 제주시 1100로 2671-51(노형동),20,064-744-0056,2019-09-30
호스텔업,제주프레임호스텔,제주특별자치도 제주시 애월읍 애월해안로 907(하귀2리),20,064-748-4000,2019-09-30
호스텔업,우림호텔,제주특별자치도 제주시 애월읍 애월해안로 917(하귀2리),21,064-749-2777,2019-09-30
호스텔업,썬하우스,제주특별자치도 제주시 한림읍 일주서로 5556(대림리),22,064-796-8250,2019-09-30
호스텔업,호텔 더 도두,제주특별자치도 제주시 도공로 2(도두일동),34,,2019-09-30
호스텔업,나디아호스텔,제주특별자치도 제주시 애월읍 애원로 74(애월리),20,064-799-8933,2019-09-30
호스텔업,레드클레이호스텔,제주특별자치도 제주시 애월읍 신상로 266(하가리),23,064-733-5212,2019-09-30
호스텔업,노벨리조트,제주특별자치도 제주시 서해안로 122(이호일동),23,064-713-6181,2019-09-30
호스텔업,시드니호텔,제주특별자치도 제주시 애월읍 애월해안로 943(하귀2리),26,064-713-6688,2019-09-30
호스텔업,썬비치리조트,제주특별자치도 제주시 서해안로 114,30,064-726-6668,2019-09-30
호스텔업,자몽호스텔,제주특별자치도 제주시 한림읍 한림해안로 136(한림리),32,,2019-09-30
호스텔업,씨스테이호텔,제주특별자치도 제주시 애월읍 애월해안로 255(고내리),23,064-799-7757,2019-09-30
호스텔업,시드니호텔 2,제주특별자치도 제주시 애월읍 애월해안로 945,20,064-746-3335,2019-09-30
호스텔업,나이스호텔,제주특별자치도 제주시 논세길 96-38(내도동),46,064-772-6688,2019-09-30
호스텔업,하하호스텔,제주특별자치도 제주시 신광로 4길 10(연동),36,064-746-0500,2019-09-30
호스텔업,리벤시아호스텔,제주특별자치도 제주시 한림읍 한림로 39,21,,2019-09-30
호스텔업,흰수염고래리조트,제주특별자치도 제주시 애월읍 일주서로 6818,24,064-747-5553,2019-09-30
호스텔업,알리바호텔,제주특별자치도 제주시 서광로 251(삼도일동),28,064-805-8336,2019-09-30
호스텔업,삼다호스텔,제주특별자치도 제주시 용담3동 2383-1,21,064-745-4456,2019-09-30
호스텔업,노형호텔,제주특별자치도 제주시 수덕1길 7(노형동),48,064-747-2260,2019-09-30
호스텔업,물뜰에 쉼팡 리조트,제주특별자치도 제주시 한림읍 귀덕리 721-1,36,064-796-0505,2019-09-30
호스텔업,메이저2호스텔,제주특별자치도 제주시 은남4길 40,47,064-742-6889,2019-09-30
호스텔업,더퍼스트호스텔,제주특별자치도 제주시 한림읍 한림리 1314-35,22,,2019-09-30
호스텔업,라인호텔,제주특별자치도 제주시 동광로 40(이도이동),43,064-722-8161,2019-09-30
